prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,2048,8,512,202.978
16,2048,8,1024,273.466
16,2048,8,2048,418.406
16,2048,8,4096,739.019
16,2048,8,8192,739.147
16,2048,16,16,155.042
16,2048,16,32,155.682
16,2048,16,64,156.823
16,2048,16,128,190.68
16,2048,16,256,226.809
16,2048,16,512,296.901
16,2048,16,1024,431.963
16,2048,16,2048,629.982
16,2048,16,4096,1253
16,2048,16,8192,1250.96
16,2048,32,16,208.184
16,2048,32,32,209.71
16,2048,32,64,211.64
16,2048,32,128,272.932
16,2048,32,256,343.387
16,2048,32,512,460.658
16,2048,32,1024,721.451
16,2048,32,2048,1249.36
16,2048,32,4096,2503.43
16,2048,32,8192,2499.1
16,2048,64,16,299.109
16,2048,64,32,301.562
16,2048,64,64,305.029
16,2048,64,128,427.441
16,2048,64,256,565.896
16,2048,64,512,820.769
16,2048,64,1024,1370.91
16,2048,64,2048,2492.25
16,2048,64,4096,4968.47
16,2048,64,8192,5058.12
16,2048,128,16,469.041
16,2048,128,32,472.381
16,2048,128,64,485.533
16,2048,128,128,733.59
16,2048,128,256,1004.2
16,2048,128,512,1534.68
16,2048,128,1024,2661.88
16,2048,128,2048,4958.88
16,2048,128,4096,9959.7
16,2048,128,8192,9971.96
16,4096,0,0,214.201
16,4096,1,16,213.358
16,4096,1,32,213.465
16,4096,1,64,213.23
16,4096,1,128,213.059
16,4096,1,256,212.953
16,4096,1,512,213.827
16,4096,1,1024,213.859
16,4096,1,2048,213.593
16,4096,1,4096,214.627
16,4096,1,8192,215.075
16,4096,2,16,218.275
16,4096,2,32,218.243
16,4096,2,64,219.129
16,4096,2,128,224.408
16,4096,2,256,231.928
16,4096,2,512,244.174
16,4096,2,1024,269.38
16,4096,2,2048,321.957
16,4096,2,4096,423.42
16,4096,2,8192,422.673
16,4096,4,16,219.662
16,4096,4,32,219.715
16,4096,4,64,220.761
16,4096,4,128,225.945
16,4096,4,256,233.625
16,4096,4,512,245.817
16,4096,4,1024,271.716
16,4096,4,2048,323.493
16,4096,4,4096,424.988
16,4096,4,8192,423.985
16,4096,8,16,234.691
16,4096,8,32,234.394
16,4096,8,64,237.262
16,4096,8,128,251.961
16,4096,8,256,271.844
16,4096,8,512,309.316
16,4096,8,1024,383.931
16,4096,8,2048,531.645
16,4096,8,4096,831.501
16,4096,8,8192,831.18
16,4096,16,16,257.454
16,4096,16,32,257.967
16,4096,16,64,259.417
16,4096,16,128,293.541
16,4096,16,256,332.432
16,4096,16,512,407.239
16,4096,16,1024,555.006
16,4096,16,2048,843.896
16,4096,16,4096,1253.21
16,4096,16,8192,1250.89
16,4096,32,16,310.628
16,4096,32,32,311.952
16,4096,32,64,313.53
16,4096,32,128,388.891
16,4096,32,256,470.844
16,4096,32,512,603.273
16,4096,32,1024,877.849
16,4096,32,2048,1395.22
16,4096,32,4096,2495.71
16,4096,32,8192,2492.91
