regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,8,3,0.375,4.0,16,512,2048,8192,4352,2371.997,2372.7,1797.198,-817.6373
mixed,8,3,0.375,4.0,16,2048,128,512,272,702.163,774.387,667.282,-0.483
mixed,8,3,0.375,4.0,16,2048,512,2048,1088,937.528,1202.848,776.179,-0.6081
mixed,8,3,0.375,4.0,16,2048,2048,8192,4352,2371.516,2370.972,1800.878,
mixed,8,3,0.375,4.0,16,8192,128,512,272,1288.127,1359.427,1252.449,-0.5004
mixed,8,3,0.375,4.0,16,8192,512,2048,1088,1525.448,1794.928,1360.483,-0.6122
mixed,8,3,0.375,4.0,16,8192,2048,8192,4352,2374.299,2373.308,1801.743,
mixed,8,3,0.375,4.0,64,0,128,512,272,214.054,351.272,245.254,0.2274
mixed,8,3,0.375,4.0,64,0,512,2048,1088,669.169,1198.816,774.834,0.1995
mixed,8,3,0.375,4.0,64,0,2048,8192,4352,2373.278,2370.203,1797.454,
mixed,8,3,0.375,4.0,64,512,128,512,272,291.174,359.945,254.086,-0.5393
mixed,8,3,0.375,4.0,64,512,512,2048,1088,668.049,1198.846,776.083,0.2035
mixed,8,3,0.375,4.0,64,512,2048,8192,4352,2371.1,2372.091,1796.943,-579.3713
mixed,8,3,0.375,4.0,64,2048,128,512,272,708.754,779.092,672.369,-0.5173
mixed,8,3,0.375,4.0,64,2048,512,2048,1088,939.83,1204.575,780.916,-0.6003
mixed,8,3,0.375,4.0,64,2048,2048,8192,4352,2374.012,2372.029,1800.173,
mixed,8,3,0.375,4.0,64,8192,128,512,272,1293.376,1364.513,1257.089,-0.5101
mixed,8,3,0.375,4.0,64,8192,512,2048,1088,1528.456,1801.134,1364.866,-0.5999
mixed,8,3,0.375,4.0,64,8192,2048,8192,4352,2375.037,2374.747,1802.989,
mixed,8,3,0.375,4.0,256,0,128,512,272,250.247,369.674,315.561,0.5469
mixed,8,3,0.375,4.0,256,0,512,2048,1088,677.906,1202.59,841.685,0.3121
mixed,8,3,0.375,4.0,256,0,2048,8192,4352,2375.546,2376.316,1856.049,-674.6714
