pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=70%,kvB<=4k,kp<=20k,0.0613,1
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.3407,1
16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.9881,1
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.9805,1
16,n<=32,sr>70%,kvB<=16k,kp<=20k,0.5242,2
16,n<=32,sr>70%,kvB<=16k,kp<=2k,0.997,2
16,n<=32,sr>70%,kvB<=16k,kp<=512,1.0019,2
16,n<=32,sr>70%,kvB<=16k,kp<=8k,0.989,2
16,n<=32,sr>70%,kvB<=16k,kp=0,1.0012,2
16,n<=32,sr>70%,kvB<=1k,kp<=20k,0.72,1
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.8198,2
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.8384,2
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.8788,2
16,n<=32,sr>70%,kvB<=1k,kp=0,0.9617,2
16,n<=32,sr>70%,kvB<=32k,kp<=20k,0.998,2
16,n<=32,sr>70%,kvB<=32k,kp<=2k,0.9998,2
16,n<=32,sr>70%,kvB<=32k,kp<=512,1.001,2
16,n<=32,sr>70%,kvB<=32k,kp<=8k,0.9979,2
16,n<=32,sr>70%,kvB<=32k,kp=0,0.9996,2
16,n<=32,sr>70%,kvB<=4k,kp<=20k,0.4989,2
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.8697,2
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.993,2
16,n<=32,sr>70%,kvB<=4k,kp<=8k,0.9593,2
16,n<=32,sr>70%,kvB<=4k,kp=0,0.9864,2
16,n<=8,sr<=15%,kvB<=16k,kp<=20k,-0.0018,1
16,n<=8,sr<=15%,kvB<=16k,kp<=2k,0.9899,1
16,n<=8,sr<=15%,kvB<=16k,kp<=512,0.9891,1
16,n<=8,sr<=15%,kvB<=16k,kp<=8k,-479.0,1
16,n<=8,sr<=15%,kvB<=16k,kp=0,0.987,1
16,n<=8,sr<=15%,kvB<=1k,kp<=20k,0.3089,1
16,n<=8,sr<=15%,kvB<=1k,kp<=2k,0.5397,1
16,n<=8,sr<=15%,kvB<=1k,kp<=512,0.6505,1
16,n<=8,sr<=15%,kvB<=1k,kp<=8k,0.0833,1
16,n<=8,sr<=15%,kvB<=1k,kp=0,0.9885,4
16,n<=8,sr<=15%,kvB<=32k,kp<=20k,0.9935,1
16,n<=8,sr<=15%,kvB<=32k,kp<=2k,0.9988,1
16,n<=8,sr<=15%,kvB<=32k,kp<=512,0.9973,1
16,n<=8,sr<=15%,kvB<=32k,kp<=8k,0.9963,1
16,n<=8,sr<=15%,kvB<=32k,kp=0,0.9965,1
16,n<=8,sr<=15%,kvB<=4k,kp<=20k,0.1417,1
16,n<=8,sr<=15%,kvB<=4k,kp<=2k,0.9091,1
16,n<=8,sr<=15%,kvB<=4k,kp<=512,0.988,1
16,n<=8,sr<=15%,kvB<=4k,kp<=8k,0.7669,1
16,n<=8,sr<=15%,kvB<=4k,kp=0,0.986,2
16,n<=8,sr<=40%,kvB<=16k,kp<=20k,-0.7027,1
16,n<=8,sr<=40%,kvB<=16k,kp<=2k,0.9988,2
16,n<=8,sr<=40%,kvB<=16k,kp<=512,0.9983,2
16,n<=8,sr<=40%,kvB<=16k,kp<=8k,-1.3692,2
16,n<=8,sr<=40%,kvB<=16k,kp=0,0.9977,2
16,n<=8,sr<=40%,kvB<=1k,kp<=20k,0.8411,2
16,n<=8,sr<=40%,kvB<=1k,kp<=2k,0.8267,2
16,n<=8,sr<=40%,kvB<=1k,kp<=512,0.3638,2
16,n<=8,sr<=40%,kvB<=1k,kp<=8k,0.7622,2
16,n<=8,sr<=40%,kvB<=1k,kp=0,0.9962,2
16,n<=8,sr<=40%,kvB<=32k,kp<=20k,0.9986,2
16,n<=8,sr<=40%,kvB<=32k,kp<=2k,0.9983,2
16,n<=8,sr<=40%,kvB<=32k,kp<=512,0.9988,2
16,n<=8,sr<=40%,kvB<=32k,kp<=8k,0.9992,2
16,n<=8,sr<=40%,kvB<=32k,kp=0,0.9988,2
16,n<=8,sr<=40%,kvB<=4k,kp<=20k,0.1551,2
16,n<=8,sr<=40%,kvB<=4k,kp<=2k,0.779,2
16,n<=8,sr<=40%,kvB<=4k,kp<=512,0.9989,2
16,n<=8,sr<=40%,kvB<=4k,kp<=8k,0.2438,2
16,n<=8,sr<=40%,kvB<=4k,kp=0,0.9946,2
16,n<=8,sr<=70%,kvB<=16k,kp<=2k,0.9955,1
16,n<=8,sr<=70%,kvB<=16k,kp<=512,0.9978,1
16,n<=8,sr<=70%,kvB<=16k,kp<=8k,-0.9091,1
16,n<=8,sr<=70%,kvB<=16k,kp=0,0.9966,1
16,n<=8,sr<=70%,kvB<=1k,kp<=20k,0.8991,1
16,n<=8,sr<=70%,kvB<=1k,kp<=2k,0.1088,1
16,n<=8,sr<=70%,kvB<=1k,kp<=512,1.0484,1
16,n<=8,sr<=70%,kvB<=1k,kp<=8k,0.6667,1
16,n<=8,sr<=70%,kvB<=1k,kp=0,0.9937,3
16,n<=8,sr<=70%,kvB<=32k,kp<=20k,0.9995,1
16,n<=8,sr<=70%,kvB<=32k,kp<=2k,0.9982,1
16,n<=8,sr<=70%,kvB<=32k,kp<=512,0.999,1
16,n<=8,sr<=70%,kvB<=32k,kp<=8k,0.9939,1
16,n<=8,sr<=70%,kvB<=32k,kp=0,0.9983,1
16,n<=8,sr<=70%,kvB<=4k,kp<=2k,0.2812,1
16,n<=8,sr<=70%,kvB<=4k,kp<=512,0.9909,1
